entry_time,ml_prob,entry_cost,spot_move,pnl,result
2025-04-30 15:20:00,0.660010644689236,44.2,117.15000000000146,72.95000000000145,WIN
2025-05-15 15:25:00,0.6551762853542975,12.15,33.599999999998545,21.449999999998546,WIN
2025-05-22 15:10:00,0.615527574158915,7.550000000000001,18.549999999999272,10.999999999999272,WIN
2025-05-22 15:15:00,0.6490924627902466,9.15,11.600000000002183,2.4500000000021824,WIN
2025-06-26 15:05:00,0.6082282076676471,8.05,12.599999999998545,4.549999999998544,WIN
2025-06-26 15:10:00,0.6451455167100328,6.4,10.700000000000728,4.300000000000727,WIN
2025-08-07 15:05:00,0.6230864373560842,19.7,20.299999999999272,0.5999999999992731,WIN
2025-08-07 15:10:00,0.604248918950764,16.9,37.25,20.35,WIN
2025-08-07 15:15:00,0.6027345658327699,11.7,21.950000000000728,10.250000000000728,WIN
2025-10-28 15:10:00,0.6273773237386482,13.25,7.599999999998545,-5.650000000001455,LOSS
2026-01-13 15:05:00,0.6285235348277359,13.7,20.100000000002183,6.4000000000021835,WIN
2026-01-13 15:10:00,0.6089311184623541,11.4,6.400000000001455,-4.999999999998545,LOSS
2026-01-27 15:05:00,0.6436225166130353,13.7,55.20000000000073,41.500000000000725,WIN
2026-01-27 15:10:00,0.6523014773800425,21.8,59.54999999999927,37.749999999999275,WIN
